S,freq,condition,textbox.text,,,,,,,,,,,,,
0.4,1000,exp,800,,,sr. no,unexp,,,,,sr.no,exp,,,
0.7,1000,exp,700,,,1,0.7,400,unexp,300,,1,0.4,1000,exp,800
0.1,1000,exp,500,,,2,0.1,400,unexp,300,,2,0.7,1000,exp,700
0.1,1000,exp,700,,,3,0.4,400,unexp,250,,3,0.1,1000,exp,500
0.7,1000,exp,800,,,4,0.1,400,unexp,200,,4,0.1,1000,exp,700
0.7,1000,exp,800,,,5,0.4,400,unexp,300,,5,0.7,1000,exp,800
0.1,1000,exp,750,,,6,0.7,400,unexp,400,,6,0.7,1000,exp,800
0.4,1000,exp,800,,,7,0.1,400,unexp,350,,7,0.1,1000,exp,750
0.4,1000,exp,650,,,8,0.7,400,unexp,345,,8,0.4,1000,exp,800
0.7,1000,exp,800,,,9,0.4,400,unexp,234,,9,0.4,1000,exp,650
0.1,1000,exp,900,,,10,0.1,400,unexp,123,,10,0.7,1000,exp,800
0.1,1000,exp,700,,,11,0.7,400,unexp,234,,11,0.1,1000,exp,900
0.4,1000,exp,790,,,12,0.4,400,unexp,345,,12,0.1,1000,exp,700
0.7,1000,exp,900,,,13,0.7,400,unexp,300,,13,0.4,1000,exp,790
0.7,1000,exp,800,,,14,0.4,400,unexp,250,,14,0.7,1000,exp,900
0.4,1000,exp,710,,,15,0.1,400,unexp,230,,15,0.7,1000,exp,800
0.1,1000,exp,800,,,,,,,277.4,,16,0.4,1000,exp,710
0.4,1000,exp,680,,,,,,,,,17,0.1,1000,exp,800
0.7,1000,exp,890,,,,,,,,,18,0.4,1000,exp,680
0.7,1000,exp,789,,,,,,,,,19,0.7,1000,exp,890
0.1,1000,exp,909,,,,,,,,,20,0.7,1000,exp,789
0.4,1000,exp,890,,,,,,,,,21,0.1,1000,exp,909
0.7,1000,exp,789,,,,,,,,,22,0.4,1000,exp,890
0.4,1000,exp,980,,,,,,,,,23,0.7,1000,exp,789
0.1,1000,exp,890,,,,,,,,,24,0.4,1000,exp,980
0.1,1000,exp,890,,,,,,,,,25,0.1,1000,exp,890
0.4,1000,exp,990,,,,,,,,,26,0.1,1000,exp,890
0.7,1000,exp,878,,,,,,,,,27,0.4,1000,exp,990
0.1,1000,exp,880,,,,,,,,,28,0.7,1000,exp,878
0.4,1000,exp,908,,,,,,,,,29,0.1,1000,exp,880
0.4,1000,exp,789,,,,,,,,,30,0.4,1000,exp,908
0.1,1000,exp,890,,,,,,,,,31,0.4,1000,exp,789
0.1,1000,exp,678,,,,,,,,,32,0.1,1000,exp,890
0.4,1000,exp,678,,,,,,,,,33,0.1,1000,exp,678
0.7,1000,exp,800,,,,,,,,,34,0.4,1000,exp,678
0.7,1000,exp,900,,,,,,,,,35,0.7,1000,exp,800
0.1,1000,exp,789,,,,,,,,,36,0.7,1000,exp,900
0.7,1000,exp,800,,,,,,,,,37,0.1,1000,exp,789
0.4,1000,exp,900,,,,,,,,,38,0.7,1000,exp,800
0.1,1000,exp,300,,,,,,,,,39,0.4,1000,exp,900
0.4,1000,exp,400,,,,,,,,,40,0.1,1000,exp,300
0.1,1000,exp,450,,,,,,,,,41,0.4,1000,exp,400
0.7,1000,exp,500,,,,,,,,,42,0.1,1000,exp,450
0.4,1000,exp,450,,,,,,,,,43,0.7,1000,exp,500
0.7,1000,exp,780,,,,,,,,,44,0.4,1000,exp,450
0.7,400,unexp,300,,,,,,,,,45,0.7,1000,exp,780
0.1,400,unexp,300,,,,,,,,,,,,,763.7111111
0.4,400,unexp,250,,,,,,,,,,,,,
0.1,400,unexp,200,,,,,,,,,,,,,
0.4,400,unexp,300,,,,,,,,,,,,,
0.7,400,unexp,400,,,,,,,,,,,,,
0.1,400,unexp,350,,,,,,,,,,,,,
0.7,400,unexp,345,,,,,,,,,,,,,
0.4,400,unexp,234,,,,,,,,,,,,,
0.1,400,unexp,123,,,,,,,,,,,,,
0.7,400,unexp,234,,,,,,,,,,,,,
0.4,400,unexp,345,,,,,,,,,,,,,
0.7,400,unexp,300,,,,,,,,,,,,,
0.4,400,unexp,250,,,,,,,,,,,,,
0.1,400,unexp,230,,,,,,,,,,,,,
